TAZ,population,population_altrnd
1490,0,0
1491,2824,2824
1492,2067,2067
1493,2998,2998
1494,3925,3925
1495,1399,1399
1496,2052,2052
1497,2001,2001
1498,1155,1155
1499,918,918
1500,3186,3186
1501,2638,2638
1502,2040,2040
1503,1467,1467
1504,210,210
1505,1754,1754
1506,1844,1844
1507,373,373
1508,1263,1263
1509,2171,2171
1510,1762,1762
1511,1949,1949
1512,1873,1873
1513,931,931
1514,1247,1247
1515,527,527
1516,2389,2389
1517,744,744
1518,9,9
1519,268,268
1520,148,148
1521,0,0
1522,4579,4579
1523,75,75
1524,1624,1624
1525,91,91
1526,2855,2855
1527,1846,1846
1528,20,20
1529,3332,3332
1530,2178,2178
1531,828,828
1532,2346,2346
1533,1277,1277
1534,2299,2299
1535,361,361
1536,1473,1473
1537,1543,1543
1538,1143,1143
1539,608,608
1540,1019,1019
1541,2819,2819
1542,3297,3297
1543,1151,1151
1544,3284,3284
1545,3530,3530
1546,2055,2055
1547,2026,2026
1548,325,325
1549,1991,1991
1550,3124,3124
1551,764,764
1552,2605,2605
1553,3053,3053
1554,1443,1443
1555,2673,2673
1556,2,2
1557,37,37
1558,3699,3699
1559,2,2
1560,2,2
1561,598,599
1562,292,293
1563,1860,1860
1564,898,898
1565,815,815
1566,1080,1080
1567,2479,2479
1568,689,689
1569,899,899
1570,2216,2216
1571,1830,1830
1572,1737,1737
1573,1682,1682
1574,2241,2241
1575,294,294
1576,2308,2308
1577,4739,4739
1578,1794,1794
1579,1247,1247
1580,2271,2271
1581,1788,1788
1582,3318,3318
1583,0,0
1584,3,3
1585,4130,4130
1586,2092,2092
1587,1548,1548
1588,2889,2889
1589,3157,3157
1590,2111,2111
1591,2008,2008
1592,3351,3351
1593,2163,2163
1594,2611,2611
1595,1372,1372
1596,1623,1623
1597,3975,3975
1598,1474,1474
1599,3330,3330
1600,627,627
1601,1792,1792
1602,2092,2092
1603,1098,1098
1604,780,780
1605,2785,2785
1606,1037,1037
1607,2430,2430
1608,2398,2398
1609,2579,2579
1610,2218,2218
1611,2085,2085
1612,736,736
1613,2169,2169
1614,0,0
1615,1221,1221
1616,3,3
1617,0,0
1618,51,51
1619,2857,2857
1620,2562,2562
1621,106,106
1622,32,32
1623,2859,2859
1624,2812,2812
1625,184,184
1626,32,33
1627,0,0
1628,16,16
1629,1552,1552
1630,473,473
1631,1477,1477
1632,3189,3189
1633,1383,1383
1634,205,205
1635,2925,2925
1636,1735,1735
1637,2928,2928
1638,1151,1151
1639,2593,2593
1640,2222,2222
1641,894,894
1642,1826,1826
1643,3338,3338
1644,3303,3303
1645,748,748
1646,1477,1477
1647,1549,1549
1648,2016,2016
1649,2492,2492
1650,370,370
1651,2348,2348
1652,2351,2351
1653,2804,2804
1654,1880,1880
1655,2723,2723
1656,1999,1999
1657,1360,1360
1658,2333,2333
1659,2583,2583
1660,1863,1863
1661,2282,2282
1662,2358,2358
1663,2832,2832
1664,2889,2889
1665,479,479
1666,2535,2535
1667,1987,1987
1668,1986,1986
1669,407,407
1670,2562,2562
1671,1239,1239
1672,2188,2188
1673,2845,2845
1674,231,231
1675,2557,2557
1676,1989,1989
1677,1594,1594
1678,2057,2057
1679,843,843
1680,299,299
1681,2089,2089
1682,1858,1858
1683,2924,2924
1684,13,13
1685,1703,1703
1686,1088,1088
1687,110,110
1688,2196,2196
1689,2662,2662
1690,2179,2179
1691,868,868
1692,2944,2944
1693,1942,1942
1694,3390,3390
1695,2328,2328
1696,2594,2594
1697,2274,2274
1698,948,948
1699,252,252
1700,1477,1477
