Intersection_ID,ID,GEOID,BG_TOTAL_AREA,INTERSECTION_TOTAL_AREA,INTERSECTION_LAND_AREA,BG_LAND_AREA,num_roof,rooftop_pct
5583,2709,250235304004,4522452.72942163,2440486.74895195,1821866.9150231,3172972.51231768,388,0.6381578947368421
9122,4429,250235454005,3140494.03624674,210611.706859737,3582.03667263151,2164157.77784284,1,7.530120481927711e-4
1772,2641,250235062051,901653.329602841,2509.8169442527,2509.81694425223,899679.755567313,1,0.0015503875968992248
1771,2641,250235062051,901653.329602841,5850.69646512985,5850.69646512554,899679.755567313,3,0.004651162790697674
8731,4421,250235452002,3534018.34797978,16656.175405072,16656.1754050725,2927007.19645997,3,0.0029644268774703555
35,1853,250235001041,1000278.69870328,156218.036089072,128210.101974998,851659.764979231,2,0.0029806259314456036
2279,2655,250235081022,4008059.78679469,3302.27538110293,3302.2753811035,3196747.16061895,1,9.891196834817012e-4
3916,1882,250235202012,1506995.95970748,59398.0173646015,59398.0173646214,1506995.95970743,2,0.003787878787878788
9419,2570,250235614003,1318785.46191567,68379.0054222758,64298.5094841337,1314617.7544672,13,0.02832244008714597
866,1897,250235031024,3894927.13947721,2667.94010864302,2667.94010864187,3894927.13947666,1,0.002232142857142857
9249,4438,250235611001,37909328.4441597,20555.34625315,20555.3462531501,10974909.4545697,1,8.375209380234506e-4
4608,2534,250235241021,4336064.37632384,3684526.30218134,3678156.36271946,4329694.43686207,778,0.8530701754385965
6302,2723,250235308012,8656618.18441341,4347072.70687004,3978757.81023177,8000570.57905239,778,0.590288315629742
6980,4383,250235401012,8972174.96974305,26761.416192627,26761.4161926527,8697983.72603793,2,0.0020470829068577278
9439,2572,250239802001,7179410.36500559,1886625.06420882,1871164.91547946,6859883.23243799,3,0.028846153846153848
9135,4432,250235601001,17354434.3342268,12269.3760030223,12269.376003026,9343259.08194696,3,0.002785515320334262
9245,4438,250235611001,37909328.4441597,6658.51675533503,6658.51675533596,10974909.4545697,2,0.0016750418760469012
1565,2641,250235061024,1146914.95747118,22130.0947454982,22130.094745486,1146914.9574711,2,0.007042253521126761
6272,2723,250235308011,14915174.1825856,4401178.27219727,4007086.11936274,14289884.9175079,586,0.3430913348946136
6881,2716,250235309041,15492355.9624857,2892070.02016046,2815282.62722486,14862968.9118942,248,0.19076923076923077
6605,2726,250235309021,14216670.3105574,5907366.85493897,5753807.66164415,13665963.2422421,204,0.17941952506596306
2385,2684,250235091014,16874175.5252041,12483827.1347393,12160979.5007129,16428071.3142539,808,0.6628383921246924
2493,2675,250235091024,3105249.07545055,1132225.31346619,1106849.24536406,2992884.09943054,692,0.6731517509727627
2442,2681,250235091022,5379824.0394206,2521348.66148411,2521348.6614842,5368678.31561279,302,0.5127334465195246
2382,2675,250235091013,1797186.41691202,1225630.76533234,1225630.76533235,1797186.4169123,453,0.7089201877934272
2368,2684,250235091011,8509894.84694824,4732085.58648279,4640320.32534913,8375472.64412501,557,0.5863157894736842
2369,2683,250235091011,8509894.84694824,3770935.1650151,3728278.22332552,8375472.64412501,393,0.41368421052631577
8038,2674,250235431001,39120130.720129,30381722.4043249,29831284.0783481,38048726.6917819,1394,0.7462526766595289
5542,2708,250235304002,1398758.15089716,1396533.60684309,1396533.60684318,1398758.15089716,573,0.9982578397212544
5573,2710,250235304003,7072520.74546913,3482413.7438156,3133595.03864398,6559391.24455447,190,0.20585048754062837
5578,2708,250235304003,7072520.74546913,2897039.40534216,2732729.10741124,6559391.24455447,390,0.4225352112676056
5682,2710,250235306001,14433400.1558702,1616789.45577514,1616789.45577515,12399523.1811645,104,0.21666666666666667
4623,2534,250235241022,6284670.91178955,1868154.61076366,1868154.61076367,6139572.87280982,223,0.2797992471769134
8146,4407,250235441002,8500440.16628464,8498845.81447969,8028649.04416852,8030243.39597457,896,1
8410,4411,250235442002,20230524.2012495,20199622.3190285,18729519.6936383,18760421.5758596,939,1
5975,2711,250235306005,9564631.14606563,6607076.08077592,6444332.64096425,9233115.15740277,291,0.5938775510204082
5727,2712,250235306002,31783640.9413127,25843195.19227,24871761.3623044,30806792.2286111,613,0.7940414507772021
5872,2712,250235306003,45343938.3469712,33279130.049588,32360183.9172525,42169944.9020569,188,0.18762475049900199
5667,2704,250235305005,4379042.27182274,3672528.33981614,3599469.82172684,4290410.72055723,911,0.8054818744473917
5669,2703,250235305005,4379042.27182274,685245.622457383,680838.23614735,4290410.72055723,217,0.1918656056587091
5508,2697,250235303004,905963.033643238,905557.326100064,905557.326100094,905963.033643201,485,1
5629,2702,250235305003,681062.215837006,680731.431052169,680731.43105214,681062.215837175,190,1
533,1891,250235022003,4465308.14552537,18114.5894950815,18114.5894950852,4465236.74985578,1,9.074410163339383e-4
5581,2710,250235304004,4522452.72942163,932476.371064861,516059.664157631,3172972.51231768,175,0.2878289473684211
9159,4435,250235601004,10209657.5966588,191851.724304857,191851.724304698,10209657.5966589,2,0.0019029495718363464
5900,2713,250235306003,45343938.3469712,2971992.58106823,2621098.52949623,42169944.9020569,382,0.3812375249500998
6882,2717,250235309041,15492355.9624857,10474027.3895948,10341053.2673935,14862968.9118942,767,0.59
5914,2710,250235306004,4930960.92220085,4930826.32507569,4654338.61996666,4654473.21709117,763,1
5501,2699,250235303003,659919.278782139,659802.987658505,659802.987658526,659919.278782044,361,1
5986,2713,250235306005,9564631.14606563,2661844.12664367,2493071.57779184,9233115.15740277,199,0.4061224489795918
9202,4432,250235601005,10464364.4841056,3217.92746759206,3217.92746759206,5765807.01272783,1,0.0011037527593818985
4637,2532,250235241023,2969476.9264704,763288.068253489,763288.068253491,2969476.92647034,267,0.39732142857142855
4588,2532,250235241012,20651704.3873743,8124043.88994867,7531536.09768182,20044280.2284902,698,0.4915492957746479
4567,2535,250235241011,6354959.65756758,3352995.45238134,3282652.981403,6247545.94999862,169,0.39211136890951276
4573,2533,250235241012,20651704.3873743,1394384.96167706,1394384.96167706,20044280.2284902,305,0.2147887323943662
4568,2536,250235241011,6354959.65756758,2250116.28320001,2213079.25739182,6247545.94999862,104,0.24129930394431554
4591,2530,250235241012,20651704.3873743,3805866.59951144,3800154.88437695,20044280.2284902,276,0.19436619718309858
4629,2535,250235241023,2969476.9264704,887676.947882512,887676.947882534,2969476.92647034,157,0.23363095238095238
4587,2531,250235241012,20651704.3873743,7274747.60539872,7267299.66305404,20044280.2284902,141,0.09929577464788733
